category,title,file
techniques,카메라 줌/렌즈별 상황 가이드,raw/techniques/zoom_lens_situation_guide.md
techniques,야간·인물·음식·매크로 모드별 촬영 가이드,raw/techniques/camera_modes_night_portrait_food_macro.md
techniques,스마트폰 음식 사진 실전 레시피,raw/techniques/food_photography_recipes.md
trends,SNS 인물·여행 사진 보정 트렌드 타임라인,raw/trends/sns_editing_trends_by_year.md
trends,인물·여행 사진 보정 스타일별 Lightroom Mobile 레시피,raw/trends/portrait_travel_editing_styles.md
trends,전문가/인기 스타일 보정 레시피 — Lightroom Mobile 중심,raw/trends/professional_popular_editing_recipes.md
